Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Cluster
490637,21820,GLITTER HEART GARLAND WITH BELLS ,12,12/07/2009 12:12:00,3.75,13495.0,United Kingdom,2
508972,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,05/19/2010 11:39:00,1.25,15727.0,United Kingdom,2
536179,20728,LUNCH BAG CARS BLUE,4,11/30/2010 12:21:00,1.65,16393.0,United Kingdom,2
516769,22343,PARTY PIZZA DISH RED RETROSPOT,12,07/22/2010 17:33:00,0.85,13371.0,United Kingdom,2
534319,22419,LIPSTICK PEN RED,6,11/22/2010 11:37:00,0.85,,United Kingdom,2
514280,84006,MAGIC TREE -PAPER FLOWERS,12,07/01/2010 11:59:00,0.85,13081.0,United Kingdom,2
519600,21122,SET/10 PINK SPOTTY PARTY CANDLES,2,08/18/2010 15:47:00,1.25,15353.0,United Kingdom,2
519868,21967,PACK OF 12 SKULL TISSUES,1,08/20/2010 16:21:00,0.85,,United Kingdom,2
528991,22457,NATURAL SLATE HEART CHALKBOARD ,6,10/26/2010 11:23:00,2.95,16168.0,United Kingdom,2
491960,22274,FELTCRAFT DOLL EMILY,12,12/14/2009 16:29:00,2.95,17416.0,United Kingdom,2
501893,85189,HANGING BUTTERFLY  EGG,4,03/21/2010 15:03:00,0.85,15005.0,United Kingdom,2
497371,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,02/09/2010 10:24:00,0.85,12471.0,Germany,2
533358,84766,SILVER ROCOCO CANDLE STICK,2,11/17/2010 10:07:00,5.95,13237.0,United Kingdom,2
494870,22053,EMPIRE DESIGN ROSETTE,3,01/19/2010 12:15:00,1.25,15998.0,United Kingdom,2
489856,22211,WOOD STAMP SET FLOWERS,2,12/02/2009 14:36:00,3.43,,United Kingdom,2
501922,22071,SMALL RETRO SPOT MUG IN BOX  WHITE,1,03/22/2010 10:26:00,3.75,13151.0,United Kingdom,2
501960,22568,FELTCRAFT CUSHION OWL,4,03/22/2010 12:10:00,3.75,14817.0,United Kingdom,2
495016,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,1,01/20/2010 13:10:00,4.25,14649.0,United Kingdom,2
536544,22633,HAND WARMER UNION JACK,3,12/01/2010 14:32:00,2.1,,United Kingdom,2
497924,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1,02/14/2010 16:01:00,2.95,,United Kingdom,2
521955,22302,COFFEE MUG PEARS  DESIGN,2,09/09/2010 18:00:00,2.55,16032.0,United Kingdom,2
494213,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,4,01/12/2010 11:40:00,0.85,17945.0,United Kingdom,2
491675,22294,HEART FILIGREE DOVE  SMALL,2,12/13/2009 12:04:00,1.25,16710.0,United Kingdom,2
510445,22035,VINTAGE CARAVAN GREETING CARD ,12,05/30/2010 15:58:00,0.42,18069.0,United Kingdom,2
491967,22143,CHRISTMAS CRAFT HEART DECORATIONS,1,12/14/2009 17:34:00,2.1,17012.0,United Kingdom,2
512553,22377,BOTTLE BAG RETROSPOT ,1,06/16/2010 13:52:00,2.1,17841.0,United Kingdom,2
491394,20978,36 PENCILS TUBE SKULLS,1,12/10/2009 16:21:00,1.25,15916.0,United Kingdom,2
517093,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,24,07/26/2010 14:32:00,1.45,16351.0,United Kingdom,2
526401,22810,SET OF 6 T-LIGHTS SNOWMEN,12,10/11/2010 13:38:00,2.95,14319.0,United Kingdom,2
501445,21523,DOOR MAT FANCY FONT HOME SWEET HOME,4,03/16/2010 14:19:00,7.49,17478.0,United Kingdom,2
513336,85099B,JUMBO BAG RED RETROSPOT,10,06/24/2010 09:51:00,1.95,12705.0,Germany,2
497521,72801C,S/4 ROSE PINK DINNER CANDLES,2,02/10/2010 13:39:00,1.25,17780.0,United Kingdom,2
527268,22959,WRAP CHRISTMAS VILLAGE,25,10/15/2010 13:02:00,0.42,13059.0,United Kingdom,2
492226,21266,VINTAGE SILVER TINSEL REEL,1,12/15/2009 18:33:00,4.3,,United Kingdom,2
503549,21731,RED TOADSTOOL LED NIGHT LIGHT,4,04/01/2010 15:04:00,3.36,,United Kingdom,2
511269,90014A,SILVER/MOP ORBIT NECKLACE,1,06/07/2010 13:02:00,9.95,16984.0,United Kingdom,2
526242,90211A,DIAMOND LAS VEGAS NECKLACE 45CM,2,10/11/2010 09:18:00,5.95,14911.0,EIRE,2
513452,22457,NATURAL SLATE HEART CHALKBOARD ,18,06/24/2010 15:19:00,2.95,15125.0,United Kingdom,2
505362,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,04/21/2010 15:40:00,0.85,13728.0,United Kingdom,2
500638,47566,PARTY BUNTING,60,03/09/2010 10:53:00,3.75,13854.0,United Kingdom,2
527515,22528,,2,10/18/2010 13:01:00,0.0,,United Kingdom,2
529068,22184,CAKE STAND VICTORIAN FILIGREE LARGE,2,10/26/2010 12:14:00,8.47,,United Kingdom,2
531738,22572,ROCKING HORSE GREEN CHRISTMAS ,3,11/09/2010 12:39:00,0.85,16960.0,United Kingdom,2
531359,21484,CHICK GREY HOT WATER BOTTLE,1,11/07/2010 14:17:00,3.45,13276.0,United Kingdom,2
502090,84534B,FAIRY CAKE NOTEBOOK A5 SIZE,2,03/22/2010 16:16:00,1.66,,United Kingdom,2
533374,22418,10 COLOUR SPACEBOY PEN,12,11/17/2010 10:34:00,0.85,14049.0,United Kingdom,2
502750,21102,,-127,03/26/2010 13:09:00,0.0,,United Kingdom,2
490299,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",1,12/04/2009 14:14:00,4.95,13680.0,United Kingdom,2
508620,22560,TRADITIONAL MODELLING CLAY,24,05/17/2010 13:44:00,1.25,17442.0,United Kingdom,2
511517,85061W,WHITE JEWELLED HEART DECORATION,1,06/08/2010 16:24:00,0.85,17962.0,United Kingdom,2
490391,22215,CAKE STAND WHITE TWO TIER LACE,2,12/05/2009 15:27:00,8.5,15057.0,United Kingdom,2
C537756,21914,BLUE HARMONICA IN BOX ,-24,12/08/2010 11:33:00,1.25,14952.0,United Kingdom,2
504439,22442,GROW YOUR OWN FLOWERS SET OF 3,1,04/13/2010 13:50:00,7.95,17757.0,United Kingdom,2
530818,22421,LIPSTICK PEN FUSCHIA,7,11/04/2010 13:14:00,0.42,13772.0,United Kingdom,2
531450,22457,NATURAL SLATE HEART CHALKBOARD ,12,11/08/2010 12:56:00,2.95,14344.0,United Kingdom,2
530391,21914,BLUE HARMONICA IN BOX ,48,11/02/2010 17:12:00,1.25,16705.0,United Kingdom,2
526871,20754,RETROSPOT RED WASHING UP GLOVES,3,10/13/2010 14:03:00,2.1,17814.0,United Kingdom,2
520571,22545,MINI JIGSAW BUNNIES,1,08/27/2010 09:12:00,0.85,,United Kingdom,2
491715,84270,ASSTD DESIGN BUBBLE GUM RING,30,12/13/2009 15:43:00,0.21,14277.0,France,2
526218,21627,ELEPHANT CARNIVAL POUFFE,1,10/10/2010 14:33:00,14.95,12748.0,United Kingdom,2
492705,20848,ZINC HEART LATTICE CHARGER SMALL,1,12/17/2009 19:42:00,2.95,14702.0,United Kingdom,2
538095,72819,CUPID DESIGN SCENTED CANDLES,1,12/09/2010 14:55:00,2.55,17097.0,Spain,2
501530,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,03/17/2010 12:47:00,2.55,13089.0,United Kingdom,2
506273,84880,WHITE WIRE EGG HOLDER,3,04/28/2010 15:05:00,5.95,16359.0,United Kingdom,2
507288,22294,HEART FILIGREE DOVE  SMALL,2,05/07/2010 13:58:00,1.25,17609.0,United Kingdom,2
489797,85099B,JUMBO BAG RED WHITE SPOTTY ,4,12/02/2009 12:19:00,1.95,15581.0,United Kingdom,2
508102,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,12,05/13/2010 10:14:00,2.1,15199.0,United Kingdom,2
507881,85017A,ENVELOPE 50 ROMANTIC IMAGES,1,05/11/2010 15:08:00,0.81,,United Kingdom,2
529082,21098,CHRISTMAS TOILET ROLL,5,10/26/2010 13:11:00,1.25,14546.0,United Kingdom,2
521973,90129B,TURQUOISE GLASS TASSLE BAG CHARM ,2,09/09/2010 19:46:00,2.95,17366.0,United Kingdom,2
490461,20725,LUNCH BAG RED SPOTTY,4,12/06/2009 12:07:00,1.65,13736.0,United Kingdom,2
515609,21731,RED TOADSTOOL LED NIGHT LIGHT,2,07/13/2010 15:44:00,3.36,,United Kingdom,2
519385,20725,LUNCH BAG RED SPOTTY,20,08/16/2010 14:15:00,1.65,16168.0,United Kingdom,2
521945,22456,NATURAL SLATE CHALKBOARD LARGE ,3,09/09/2010 16:54:00,4.95,16095.0,United Kingdom,2
529991,16254,TRANSPARENT ACRYLIC TAPE DISPENSER,1,10/31/2010 16:21:00,0.85,15879.0,United Kingdom,2
510625,22429,ENAMEL MEASURING JUG CREAM,2,06/02/2010 11:28:00,4.25,15246.0,United Kingdom,2
521829,22131,FOOD CONTAINER SET 3 LOVE HEART ,12,09/09/2010 10:44:00,1.95,17242.0,United Kingdom,2
509548,22489,PACK OF 12 TRADITIONAL CRAYONS,48,05/24/2010 12:36:00,0.42,16700.0,United Kingdom,2
492784,79160,HEART SHAPE WIRELESS DOORBELL,1,12/18/2009 17:24:00,2.1,17841.0,United Kingdom,2
490804,22072,TEA CUP AND SAUCER RETRO SPOT,4,12/08/2009 12:05:00,3.75,16560.0,United Kingdom,2
527496,47556B,TEA TIME TEA TOWELS ,6,10/18/2010 12:07:00,2.95,12699.0,Germany,2
510088,22078,RIBBON REEL LACE DESIGN ,1,05/27/2010 11:27:00,2.1,16391.0,United Kingdom,2
533149,71459,HANGING JAM JAR T-LIGHT HOLDER,8,11/16/2010 13:43:00,0.85,13571.0,United Kingdom,2
491714,21447,12 IVORY ROSE PEG PLACE SETTINGS,2,12/13/2009 15:38:00,1.25,16409.0,United Kingdom,2
C490988,21533,RETRO SPOT LARGE MILK JUG,-1,12/08/2009 17:08:00,4.95,12746.0,United Kingdom,2
518142,21868,POTTING SHED TEA MUG,1,08/04/2010 16:08:00,3.36,,United Kingdom,2
508735,21231,SWEETHEART CERAMIC TRINKET BOX,12,05/18/2010 10:38:00,1.25,15241.0,United Kingdom,2
525057,22653,BUTTON BOX ,10,10/03/2010 14:03:00,1.95,13245.0,United Kingdom,2
520213,22551,PLASTERS IN TIN SPACEBOY,2,08/24/2010 17:31:00,1.65,17602.0,United Kingdom,2
500001,21935,SUKI  SHOULDER BAG,10,03/04/2010 09:38:00,1.65,15222.0,United Kingdom,2
528581,22489,PACK OF 12 TRADITIONAL CRAYONS,4,10/22/2010 13:27:00,0.42,18055.0,United Kingdom,2
507261,21508,VINTAGE KID DOLLY CARD ,12,05/07/2010 12:20:00,0.42,12872.0,United Kingdom,2
522298,70007,HI TEC ALPINE HAND WARMER,12,09/13/2010 14:45:00,1.65,14913.0,United Kingdom,2
519246,85038,6 CHOCOLATE LOVE HEART T-LIGHTS,12,08/15/2010 14:34:00,2.1,,EIRE,2
501767,22457,NATURAL SLATE HEART CHALKBOARD ,3,03/19/2010 11:39:00,2.95,16335.0,United Kingdom,2
C533834,21055,TOOL BOX SOFT TOY ,-1,11/19/2010 10:39:00,8.95,16161.0,United Kingdom,2
503813,21587,COSY HOUR GIANT TUBE MATCHES,12,04/07/2010 14:32:00,2.55,13723.0,United Kingdom,2
497592,82578,KITCHEN METAL SIGN,12,02/11/2010 08:51:00,0.55,17139.0,United Kingdom,2
513952,22606,WOODEN SKITTLES GARDEN SET,1,06/29/2010 14:11:00,15.95,14049.0,United Kingdom,2
492543,20695,FLORAL BLUE MONSTER,1,12/17/2009 13:41:00,4.25,,United Kingdom,2
514597,48111,DOOR MAT 3 SMILEY CATS,2,07/05/2010 12:09:00,7.49,13041.0,United Kingdom,2
517957,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,1,08/03/2010 12:05:00,2.1,14606.0,United Kingdom,2
491041,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,1,12/09/2009 09:42:00,6.04,,United Kingdom,2
504454,21899,"KEY FOB , GARAGE DESIGN",2,04/13/2010 15:34:00,0.65,16809.0,United Kingdom,2
C501692,D,Discount,-1,03/18/2010 17:26:00,7.63,13798.0,United Kingdom,2
496534,84937,KASHMIR FOLKART TUMBLERS,460,02/02/2010 13:00:00,1.69,17876.0,United Kingdom,0
530325,21212,PACK OF 72 RETROSPOT CAKE CASES,360,11/02/2010 13:36:00,0.42,15523.0,United Kingdom,0
490954,20851,ZINC HEART LATTICE TRAY OVAL ,1,12/08/2009 15:00:00,5.95,15924.0,United Kingdom,2
531742,21122,SET/10 PINK POLKADOT PARTY CANDLES,2,11/09/2010 12:50:00,1.25,17208.0,United Kingdom,2
529133,22817,CARD SUKI BIRTHDAY,1,10/26/2010 14:47:00,0.85,,United Kingdom,2
520188,16020C,CLEAR STATIONERY BOX SET ,2,08/24/2010 14:26:00,0.85,13567.0,United Kingdom,2
506224,21775,DECORATIVE FLORE BATHROOM BOTTLE,2,04/28/2010 11:55:00,2.51,,United Kingdom,2
533012,21754,HOME BUILDING BLOCK WORD,3,11/15/2010 15:44:00,5.95,18219.0,United Kingdom,2
516942,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,32,07/25/2010 14:30:00,0.65,13201.0,United Kingdom,2
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,12/01/2010 11:49:00,2.1,17920.0,United Kingdom,2
499057,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,02/24/2010 13:48:00,3.95,15898.0,United Kingdom,2
500462,79406,FROSTED WHITE BASE ,1,03/08/2010 12:40:00,0.84,,United Kingdom,2
513965,22555,PLASTERS IN TIN MR STRONG ,12,06/29/2010 15:28:00,1.65,12380.0,Belgium,2
493074,79000,MOROCCAN TEA GLASS,4,12/22/2009 09:45:00,5.17,,United Kingdom,2
533820,20829,GLITTER HANGING BUTTERFLY STRING,24,11/19/2010 09:34:00,2.1,13093.0,United Kingdom,2
496919,22227,"DECORATION, HANGING HEART+MIRROR ",24,02/04/2010 15:41:00,0.65,16986.0,United Kingdom,2
528915,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,10/25/2010 13:57:00,4.95,17432.0,United Kingdom,2
533112,21899,"KEY FOB , GARAGE DESIGN",3,11/16/2010 12:14:00,0.65,15311.0,United Kingdom,2
530332,22745,POPPY'S PLAYHOUSE BEDROOM ,2,11/02/2010 13:57:00,4.21,,United Kingdom,2
C504365,21563,RED HEART SHAPE LOVE BUCKET ,-1,04/13/2010 10:49:00,2.95,13093.0,United Kingdom,2
494144,20727,LUNCH BAG  BLACK SKULL.,1,01/11/2010 14:35:00,4.21,,United Kingdom,2
520401,84991,60 TEATIME FAIRY CAKE CASES,1,08/25/2010 16:58:00,0.55,16448.0,United Kingdom,2
499491,22291,"SPRING DEC , HANGING CHICK CREAM",6,02/28/2010 14:03:00,1.45,14064.0,United Kingdom,2
515423,21397,BLUE  SPOTTY EGG CUP ,12,07/12/2010 13:26:00,1.25,17143.0,United Kingdom,2
502337,21755,LOVE BUILDING BLOCK WORD,2,03/24/2010 10:45:00,5.95,17377.0,United Kingdom,2
511449,21116,OWL DOORSTOP,2,06/08/2010 12:34:00,4.95,15854.0,United Kingdom,2
490293,22024,RAINY LADIES BIRTHDAY CARD,12,12/04/2009 13:31:00,0.42,16699.0,United Kingdom,2
510411,72799A,BLACK PILLAR CANDLE SILVER FLOCK,1,05/30/2010 10:15:00,2.95,17243.0,United Kingdom,2
526916,22670,FRENCH WC SIGN BLUE METAL,2,10/13/2010 16:20:00,2.51,,United Kingdom,2
510675,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,1,06/02/2010 16:20:00,1.69,17841.0,United Kingdom,2
517511,85099B,JUMBO BAG RED RETROSPOT,10,07/29/2010 13:23:00,1.95,16168.0,United Kingdom,2
537415,22625,RED KITCHEN SCALES,3,12/06/2010 15:09:00,8.5,16654.0,United Kingdom,2
500999,22609,PENS ASSORTED SPACEBALL,6,03/11/2010 13:46:00,0.85,16933.0,United Kingdom,2
501645,85066,CREAM SWEETHEART MINI CHEST,2,03/18/2010 12:35:00,12.75,14249.0,United Kingdom,2
506609,20731,POSY CANDY BAG,1,04/30/2010 15:39:00,1.25,13230.0,United Kingdom,2
492441,21192,WHITE BELL HONEYCOMB PAPER ,12,12/17/2009 10:57:00,1.65,14484.0,United Kingdom,2
497035,35471A,SET OF 3 BIRD L.BLUE FEATHER,1,02/05/2010 14:14:00,1.25,16704.0,United Kingdom,2
496551,21403,BLUE EGG  SPOON,6,02/02/2010 13:13:00,0.42,13975.0,United Kingdom,2
505024,22138,BAKING SET 9 PIECE RETROSPOT ,1,04/19/2010 14:21:00,4.95,15005.0,United Kingdom,2
511452,22625,RED KITCHEN SCALES,1,06/08/2010 12:44:00,7.65,,United Kingdom,2
535173,48194,DOORMAT HEARTS,10,11/25/2010 11:55:00,6.75,13113.0,United Kingdom,2
526405,22115,METAL SIGN EMPIRE TEA,1,10/11/2010 13:53:00,5.91,,United Kingdom,2
505144,20725,LUNCH BAG RED SPOTTY,6,04/20/2010 11:24:00,1.45,17850.0,United Kingdom,2
513336,84692,BOX OF 24 COCKTAIL PARASOLS,25,06/24/2010 09:51:00,0.42,12705.0,Germany,2
523960,22065,CHRISTMAS PUDDING TRINKET POT ,2,09/26/2010 12:51:00,1.45,16340.0,United Kingdom,2
532681,22241,GARLAND WOODEN HAPPY EASTER,2,11/14/2010 12:36:00,1.25,17561.0,United Kingdom,2
491210,22073,RETRO SPOT STORAGE JAR,4,12/10/2009 14:20:00,3.75,15367.0,United Kingdom,2
511864,22713,CARD I LOVE LONDON ,12,06/11/2010 10:23:00,0.42,15910.0,United Kingdom,2
538071,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,12/09/2010 14:09:00,0.85,,United Kingdom,2
510329,85227,SET OF 6 3D KIT CARDS FOR KIDS,24,05/28/2010 13:23:00,0.85,17822.0,United Kingdom,2
510983,84978,HANGING HEART JAR T-LIGHT HOLDER,3,06/04/2010 12:23:00,2.51,,United Kingdom,2
C516894,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,-6,07/23/2010 15:16:00,2.95,12963.0,United Kingdom,2
490294,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,2,12/04/2009 13:41:00,2.55,16710.0,United Kingdom,2
524008,22629,SPACEBOY LUNCH BOX ,12,09/27/2010 09:18:00,1.95,13267.0,United Kingdom,2
502427,79191C,RETRO PLASTIC ELEPHANT TRAY,3,03/24/2010 12:33:00,0.85,17019.0,United Kingdom,2
520665,20982,12 PENCILS TALL TUBE SKULLS,8,08/27/2010 13:05:00,0.85,13206.0,United Kingdom,2
534814,22469,HEART OF WICKER SMALL,3,11/24/2010 12:45:00,1.65,16794.0,United Kingdom,2
510796,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,4,06/03/2010 16:52:00,1.95,14713.0,United Kingdom,2
526268,21579,LOLITA  DESIGN  COTTON TOTE BAG,1,10/11/2010 10:58:00,2.25,14651.0,United Kingdom,2
514677,22055,MINI CAKE STAND  HANGING STRAWBERY,8,07/05/2010 13:37:00,1.65,12953.0,United Kingdom,2
491669,84597B,RETRO BROWN BALL ASHTRAY ,2,12/13/2009 11:41:00,1.25,12843.0,United Kingdom,2
527302,21524,DOORMAT SPOTTY HOME SWEET HOME,6,10/15/2010 14:27:00,7.95,13538.0,United Kingdom,2
508470,84989A,75 GREEN FAIRY CAKE CASES,1,05/16/2010 11:24:00,0.55,16922.0,United Kingdom,2
499754,22189,CREAM HEART CARD HOLDER,10,03/02/2010 12:01:00,3.39,17850.0,United Kingdom,2
500118,37502,TEA TIME MUG IN GIFT BOX,2,03/04/2010 13:39:00,2.95,14680.0,United Kingdom,2
508849,84845D,GERANIUM SQUARE HANDY TIN,1,05/18/2010 14:37:00,1.25,17757.0,United Kingdom,2
509468,22635,CHILDS BREAKFAST SET DOLLY GIRL ,4,05/24/2010 11:00:00,9.95,13418.0,United Kingdom,2
523003,22602,CHRISTMAS RETROSPOT HEART WOOD,12,09/19/2010 16:14:00,0.85,16264.0,United Kingdom,2
508744,21891,TRADITIONAL WOODEN SKIPPING ROPE,36,05/18/2010 11:33:00,1.25,14739.0,United Kingdom,2
501318,21232,STRAWBERRY CERAMIC TRINKET BOX,24,03/16/2010 09:42:00,1.25,13777.0,United Kingdom,2
493819,10134,COLOURING PENCILS BROWN TUBE,200,01/07/2010 12:34:00,1.06,14156.0,EIRE,2
533381,22564,ALPHABET STENCIL CRAFT,1,11/17/2010 10:55:00,1.25,14417.0,United Kingdom,2
491211,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,36,12/10/2009 14:22:00,2.1,14895.0,United Kingdom,2
527972,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,12,10/20/2010 10:10:00,0.85,15608.0,United Kingdom,2
514532,20712,JUMBO BAG WOODLAND ANIMALS,1,07/05/2010 10:07:00,4.21,,United Kingdom,2
522107,47556B,TEA TIME TEA TOWELS ,4,09/12/2010 14:44:00,2.95,16208.0,United Kingdom,2
501186,21777,RECIPE BOX WITH METAL HEART,1,03/15/2010 12:07:00,7.95,14527.0,United Kingdom,2
494378,22244,"HOOK, 3 HANGER ,MAGIC GARDEN",1,01/13/2010 17:03:00,4.21,,United Kingdom,2
527375,21063,PARTY INVITES JAZZ HEARTS,1,10/17/2010 12:34:00,0.85,14850.0,United Kingdom,2
515110,22349,DOG BOWL CHASING BALL DESIGN,12,07/08/2010 12:27:00,3.75,13408.0,United Kingdom,2
501316,22186,RED STAR CARD HOLDER,6,03/16/2010 09:39:00,2.95,14669.0,United Kingdom,2
506080,21716,BOYS VINTAGE TIN SEASIDE BUCKET,3,04/27/2010 11:58:00,2.55,17332.0,United Kingdom,2
500326,84741C,CITRUS GARLAND FELT FLOWERS ,3,03/07/2010 12:25:00,1.95,14877.0,United Kingdom,2
506754,84212,"ASSORTED FLOWER COLOUR ""LEIS""",24,05/04/2010 11:51:00,0.65,14110.0,United Kingdom,2
489536,20676,RED SPOTTY BOWL,2,12/01/2009 12:13:00,1.25,16393.0,United Kingdom,2
529608,22788,BROCANTE COAT RACK,12,10/29/2010 10:28:00,8.5,15221.0,United Kingdom,2
498493,22379,RECYCLING BAG RETROSPOT ,1,02/19/2010 11:03:00,4.21,,United Kingdom,2
515287,16237,SLEEPING CAT ERASERS,4,07/09/2010 14:58:00,0.43,,United Kingdom,2
513605,20725,LUNCH BAG RED SPOTTY,4,06/27/2010 11:45:00,1.65,13230.0,United Kingdom,2
512781,84974,S/2 ZINC HEART DESIGN PLANTERS,4,06/17/2010 18:17:00,9.95,17341.0,United Kingdom,2
505710,22179,SET 10 LIGHTS NIGHT OWL,4,04/25/2010 12:36:00,6.75,12474.0,Germany,2
501033,22472,TV DINNER TRAY DOLLY GIRL,2,03/11/2010 18:18:00,4.95,16918.0,United Kingdom,2
535681,21479,WHITE SKULL HOT WATER BOTTLE ,1,11/28/2010 12:32:00,3.75,15850.0,United Kingdom,2
528150,21259,VICTORIAN SEWING BOX SMALL ,6,10/20/2010 16:15:00,5.95,13824.0,United Kingdom,2
515733,22187,GREEN CHRISTMAS TREE CARD HOLDER,10,07/14/2010 12:55:00,4.25,17034.0,United Kingdom,2
523922,22300,COFFEE MUG DOG + BALL DESIGN,6,09/24/2010 16:24:00,2.55,13141.0,United Kingdom,2
500148,85174,S/4 CACTI CANDLES,4,03/04/2010 17:29:00,4.25,17448.0,United Kingdom,2
513450,22363,GLASS JAR MARMALADE ,1,06/24/2010 15:03:00,0.0,,United Kingdom,2
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,1,12/01/2010 11:45:00,6.35,17908.0,United Kingdom,2
533022,21928,JUMBO BAG SCANDINAVIAN PAISLEY,1,11/15/2010 15:54:00,1.95,12970.0,United Kingdom,2
505859,21624,VINTAGE UNION JACK DOORSTOP,1,04/26/2010 13:17:00,11.87,,United Kingdom,2
537219,21485,RETROSPOT HEART HOT WATER BOTTLE,1,12/05/2010 15:47:00,4.95,14081.0,United Kingdom,2
505014,22459,CAST IRON HOOK GARDEN TROWEL,3,04/19/2010 13:28:00,2.55,17802.0,United Kingdom,2
524192,18098c,PORCELAIN BUTTERFLY OIL BURNER,2,09/28/2010 09:33:00,5.06,,United Kingdom,2
503847,22439,6 ROCKET BALLOONS ,24,04/08/2010 08:31:00,0.65,14798.0,United Kingdom,2
521342,22384,LUNCH BAG PINK RETROSPOT,10,09/03/2010 13:13:00,1.65,17669.0,United Kingdom,2
511291,21200,MULTICOLOUR HONEYCOMB PAPER GARLAND,6,06/07/2010 14:53:00,1.65,15872.0,United Kingdom,2
516313,84991,60 TEATIME FAIRY CAKE CASES,24,07/19/2010 14:24:00,0.55,14047.0,United Kingdom,2
531350,22561,WOODEN SCHOOL COLOURING SET,24,11/07/2010 13:31:00,1.65,12748.0,United Kingdom,2
